iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
28	0.463685691	0.7297297297	0.8233657858	0.8782729	0.429	0.4590694023	0.7297297297	0.8207282913	0.878030	0.4630	0.454605183	0.7350096712	0.8258426966	0.8814631	31	31	0.4514599953	0.7339805825	0.8205128205	0.881232	032	32	0.4464801415	0.7374517375	0.8211731044	0.882133	033	33	0.4431604297	0.7374517375	0.8194842407	0.881734	03434	0.439237446	0.7374517375	0.8240343348	0.88302235	0335	0.4348348339	0.7384615385	0.8280802292	0.88433536	0336	0.4316634372	0.7432950192	0.8270893372	0.88535037	0337	0.428821566	0.7423076923	0.8275862069	0.885350338	038	0.4253879719	0.7447216891	0.8304597701	0.8839	0.428839	0.4219834474	0.7471264368	0.8292682927	0.8840	0.426140	0.4187678564	0.7542857143	0.8294797688	0.8841	0.423041	0.4151977825	0.7557251908	0.8354792561	0.842	0.4200642	0.4123253758	0.7580952381	0.8321377331	0.843	0.4172843	0.4105812435	0.7557251908	0.8316546763	0.844	0.4156444	0.4076521281	0.7619047619	0.8347826087	045	0.412179845	0.4051016309	0.7557251908	0.8335745297	046	0.408673746	0.401981937	0.7557251908	0.8369408369	0.47	0.40590847	0.3985690814	0.7595419847	0.8414985591	0.48	0.4028848	0.395390748	0.7680608365	0.8388969521	0.8949	0.40049	0.3924776869	0.7662835249	0.8472622478	0.89750	0.39750	0.3898650462	0.7695238095	0.8431654676	0.89651	0.39451	0.3874637579	0.7756653992	0.8427128427	0.89752	0.39252	0.3848320235	0.7765151515	0.8468208092	0.89853	0.39053	0.3826606809	0.7788279773	0.8489208633	0.854	0.388554	0.3809392892	0.7849056604	0.8530259366	0.9055	0.38655	0.3782398333	0.7849056604	0.8513708514	0.9056	0.384256	0.3766024321	0.7886792453	0.8542568543	0.9057	0.38257	0.3743399479	0.7871939736	0.8530259366	0.90258	0.38058	0.3715631879	0.7962616822	0.8571428571	0.90559	0.37859	0.3692088471	0.797752809	0.86002886	0.90717860	0.60	0.36712103	0.7985074627	0.8583815029	0.9066788661	61	0.3652142087	0.797752809	0.8608695652	0.907762562	062	0.3625911988	0.800744879	0.8583941606	0.907846763	063	0.3599714068	0.7977736549	0.863372093	0.90809364	0.64	0.3580457065	0.8044692737	0.864628821	0.910502265	065	0.3554879509	0.8044692737	0.8629737609	0.910086766	066	0.3532611509	0.8074074074	0.864628821	0.910836767	067	0.3518756493	0.8074074074	0.864628821	0.910836768	068	0.3497071314	0.8066298343	0.8666666667	0.910591469	069	0.3479282802	0.8139963168	0.8679245283	0.912923970	70	0.3465569021	0.8118081181	0.8679245283	0.9125057271	71	0.3442812597	0.8139963168	0.8695652174	0.9133425072	72	0.3426127867	0.815498155	0.8695652174	0.9138405137373	0.3410467182	0.815498155	0.8724637681	0.9147571037474	0.3387735431	0.817679558	0.8740955137	0.9155963303775	0.3370431767	0.8125	0.8757225434	0.914600551
76	0.3351484767	0.8125	0.8695652174	0.9128440367
77	0.3339892735	0.8103130755	0.8724637681	0.9133425034
78	0.3327169033	0.8125	0.8712011577	0.9132629647
79	0.3314687397	0.8125	0.8708272859	0.9133425034
80	0.3308097602	0.8125	0.8724637681	0.9137614679
81	0.3297252867	0.8198529412	0.8737300435	0.9160935351
82	0.3286378097	0.8220183486	0.8766328012	0.9174311927
83	0.3270366291	0.8256880734	0.8753623188	0.9178522258
84	0.326230586	0.8272058824	0.8753623188	0.9183486239
85	0.3250344471	0.8272058824	0.8753623188	0.9183486239
86	0.3243951691	0.8241758242	0.8753623188	0.9173553719
87	0.3228535577	0.8284671533	0.8740955137	0.9177011494
88	0.3207075659	0.8248175182	0.8740955137	0.9167816092
89	0.319046244	0.8241758242	0.8737300435	0.9169343736
90	0.3174933337	0.8263254113	0.8782608696	0.9186954525
91	0.3157605717	0.8321167883	0.8798842258	0.9204597701
92	0.3144124707	0.8293577982	0.8811594203	0.9206057825
93	0.3128072139	0.8357664234	0.8762736536	0.9206057825
94	0.3114239649	0.8351648352	0.8811594203	0.9219467401
95	0.3090905411	0.8415300546	0.886627907	0.9251263206
96	0.3070540336	0.8378870674	0.8833819242	0.9233593391
97	0.3058682281	0.84	0.8898550725	0.9254829807
98	0.305174494	0.8378870674	0.8869565217	0.924137931
99	0.3036392471	0.84	0.8882438316	0.9250574713
100	0.3024305937	0.84	0.8882438316	0.9250574713
101	0.3009697546	0.8421052632	0.8911465893	0.9264029439
102	0.2995913684	0.8472727273	0.8895348837	0.9273897059
103	0.2983718452	0.8472727273	0.8898550725	0.9273229071
104	0.2969860218	0.8472727273	0.8927536232	0.9282428703
105	0.2960028087	0.8509090909	0.8885672938	0.9277496549
106	0.2950842242	0.8514492754	0.8869565217	0.9272559853
107	0.293808332	0.8514492754	0.8869565217	0.9272559853
108	0.2924663095	0.8529945554	0.8946608947	0.9299539171
109	0.2913175291	0.8545454545	0.8946608947	0.9304467987
110	0.2896637338	0.8545454545	0.8969521045	0.9314942529
111	0.2886395446	0.8581818182	0.8969521045	0.9324137931
112	0.2873790631	0.8529945554	0.8927536232	0.929590428
113	0.2851231401	0.8566243194	0.9014492754	0.9332719742
114	0.2843741097	0.8586956522	0.9004329004	0.9331489166
115	0.2824561684	0.8607594937	0.901734104	0.9340710005
116	0.2814385225	0.8628158845	0.901734104	0.934501845
117	0.280383476	0.8648648649	0.901734104	0.9349330872
